Min Players,Max Players,Play Time,Min Age,Users Rated,Rating Average,Complexity Average,Owned Users,Abstract Games,Children's Games,Customizable Games,Family Games,Party Games,Strategy Games,Thematic Games,Unknown,Wargames,Social Interaction,Strategy and Planning,Conflict Resolution,Exploration,Randomness and Luck,Resource Management,Puzzle Solving,Miscellaneous / Other,Collaboration
1,4,120.0,14,42055,8.79244,3.8604,68323.0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,1,1,0,1
2,4,60.0,13,41643,8.61278,2.8405,65294.0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,1,1,0,1
2,4,120.0,14,19217,8.66337,3.9129,28785.0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0
1,5,120.0,12,64864,8.43254,3.2406,87099.0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,1,0,0
3,6,431.8589951714952,14,13468,8.453178542440476,4.2219,16831.0,0,0,0,0,0,1,1,1,0,1,1,1,0,1,1,1,0,0
1,4,120.0,14,8392,8.87363,3.5472,21609.0,0,0,0,0,0,1,1,1,0,0,1,0,1,1,1,1,0,1
2,4,592.3721778221777,14,23061,8.477390391130957,4.4099,26985.0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0
1,4,214.1597727710886,12,16352,8.398784501408729,4.345,20312.0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0
2,4,240.0,14,23081,8.42224,3.7099,34849.0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,1
2,2,180.0,13,40814,8.29182,3.5857,56219.0,0,0,0,0,0,1,0,1,1,0,1,1,1,1,1,0,1,0
2,4,150.0,12,29457,8.29923,3.7069,35804.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0
2,4,180.0,13,13725,8.48868,4.1415,22281.0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,1,0,0,1
1,4,120.0,13,25722,8.34655,4.01,38254.0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,1,1,0,1
1,5,217.8959307359308,14,57871,8.191708104345235,3.4128,75640.0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,1,0,1
2,4,90.0,12,46507,8.13028,3.0025,63058.0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0
2,5,150.0,12,39284,8.14493,3.964,42720.0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0
2,2,30.0,10,60302,8.10645,2.2261,94343.0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0
2,5,100.0,13,28105,8.12283,3.0252,32014.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
2,4,120.0,14,19400,8.17458,3.8637,25429.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
1,5,70.0,10,43165,8.11403,2.4194,61775.0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,1,0,0
1,4,120.0,12,17377,8.19634,3.8387,22794.0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0
1,2,120.0,14,28577,8.17435,3.4388,50883.0,0,0,1,0,0,0,1,1,0,1,1,0,1,0,1,0,0,1
1,6,190.75332223332225,13,29486,8.162401524345238,2.9082,39747.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
1,5,180.0,12,12290,8.40328,3.3472,17574.0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,0,0,1
2,4,90.0,12,22244,8.08501,3.0463,27093.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
1,4,240.0,14,27850,8.09897,4.3118,39421.0,0,0,0,0,0,1,1,1,0,1,1,0,0,1,1,1,0,1
2,4,90.0,10,24412,8.10459,3.6725,37715.0,0,0,0,0,0,1,0,1,1,0,1,1,0,1,1,0,0,0
3,5,150.0,12,63128,7.98894,3.2797,73413.0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0
2,5,240.0,14,13863,8.13744,4.1994,16413.0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0
1,7,210.0,12,28123,8.01964,3.7859,35475.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0
1,5,150.0,12,63498,7.94467,3.6399,75679.0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,1,0
